categorykey,Category,Subject,England,Wales,Scotland,Northern Ireland,Other UK,Total UK
1,Natural & Physical Science,03 Biological and sport sciences,91840,10550,13165,2005,,117560
1,Natural & Physical Science,07 Physical sciences,55175,3260,8660,1100,,68195
1,Natural & Physical Science,09 Mathematical sciences,40410,1685,5695,740,,48530
2,Information Technology,11 Computing,121805,9115,17380,5540,,153840
3,Engineering & Related Tech,10 Engineering and technology,146880,10205,21850,4230,,183165
4,Architecture & Building,"13 Architecture, building and planning",51135,2445,6935,1730,,62235
5,Environment & Related,"06 Agriculture, food and related studies",14005,1310,2755,465,,18535
5,Environment & Related,"26 Geography, earth and environmental studies (natural sciences)",25190,2160,4240,810,,32400
5,Environment & Related,"26 Geography, earth and environmental studies (social sciences)",10345,700,1175,115,,12330
6,Health,01 Medicine and dentistry,61550,3675,9595,2230,,77055
6,Health,02 Subjects allied to medicine,271880,17345,34255,10295,,333780
6,Health,05 Veterinary sciences,9240,95,2240,0,,11575
7,Education,22 Education and teaching,108985,7745,16255,3045,,136035
8,Management & Commerce,17 Business and management,404390,20890,39340,10540,,475160
9,Society & Culture,04 Psychology,112515,8195,12190,2185,,135080
9,Society & Culture,15 Social sciences,234225,16485,25945,5940,,282600
9,Society & Culture,16 Law,119590,6405,9855,2290,,138140
9,Society & Culture,19 Language and area studies,72755,5695,12555,1625,,92635
9,Society & Culture,"20 Historical, philosophical and religious studies",68930,3910,12120,1025,,85990
9,Society & Culture,"24 Media, journalism and communications",39985,2525,4205,925,,47640
10,Creative Arts,"25 Design, and creative and performing arts",168465,7040,12405,2275,,190185
11,Others,23 Combined and general studies,28690,3735,10060,2050,,44535
99,Total,Total,2257990,145170,282875,61165,,2747200
99,Total,Total non-science CAH level 1,1256365,75135,143910,29840,,1505250
99,Total,Total science CAH level 1,1001625,70030,138960,31330,,1241950
