Subject,England,Wales,Scotland,Northern Ireland,Other UK,Total UK
01 Medicine and dentistry,68535,3575,10595,2525,,85235
02 Subjects allied to medicine,302835,18445,33305,10640,,365225
03 Biological and sport sciences,89650,10550,12810,2125,,115135
04 Psychology,116745,8385,12495,2245,,139870
05 Veterinary sciences,10565,150,2150,0,,12870
"06 Agriculture, food and related studies",15690,1155,2325,370,,19540
07 Physical sciences,52645,2785,8375,1135,,64940
09 Mathematical sciences,37465,1675,5265,580,,44990
10 Engineering and technology,144960,9290,20370,4170,,178790
11 Computing,158300,9715,18435,5410,,191865
"13 Architecture, building and planning",55445,2635,6310,1870,,66265
15 Social sciences,232910,15135,25560,5730,,279330
16 Law,123500,8955,9755,2540,,144750
17 Business and management,514815,25100,40975,13735,,594625
19 Language and area studies,61580,4760,12280,1470,,80085
"20 Historical, philosophical and religious studies",60155,4135,12010,1010,,77305
22 Education and teaching,93070,7885,15105,2825,,118885
23 Combined and general studies,29960,4135,9395,1445,,44935
"24 Media, journalism and communications",39340,2720,4570,945,,47580
"25 Design, and creative and performing arts",160915,6155,13145,2120,,182335
"26 Geography, earth and environmental studies (natural sciences)",24980,2530,5135,810,,33450
"26 Geography, earth and environmental studies (social sciences)",10175,800,1090,170,,12235
Total,2404235,150680,281455,63875,,2900240
Total non-science CAH level 1,1326415,79780,143880,31995,,1582070
Total science CAH level 1,1077820,70895,137575,31880,,1318170
